,regionid,productgroup,yearweek,volume
220,A01,ST0002,201550,294579
221,A01,ST0001,201545,621592
222,A01,ST0002,201545,155032
223,A01,ST0001,201548,1103665
224,A01,ST0002,201548,1400339
225,A01,ST0001,201623,768124
226,A01,ST0002,201623,161983
227,A01,ST0001,201621,721991
228,A01,ST0002,201621,205984
229,A01,ST0001,201626,871247
230,A01,ST0002,201626,196489
231,A01,ST0001,201619,693402
232,A01,ST0002,201619,152980
233,A01,ST0001,201624,772706
234,A01,ST0002,201624,171592
235,A01,ST0001,201622,817878
236,A01,ST0002,201622,214929
237,A01,ST0001,201620,695859
238,A01,ST0002,201620,160913
239,A01,ST0001,201618,712672
240,A01,ST0002,201618,162560
241,A01,ST0001,201625,786218
242,A01,ST0002,201625,157283
243,A01,ST0001,201612,794413
244,A01,ST0002,201612,132780
245,A01,ST0001,201610,1218194
246,A01,ST0002,201610,142575
247,A01,ST0001,201617,694920
248,A01,ST0002,201617,142279
249,A01,ST0001,201615,678467
250,A01,ST0002,201615,143180
251,A01,ST0001,201613,886427
252,A01,ST0002,201613,135788
253,A01,ST0001,201611,1011581
254,A01,ST0002,201611,150915
255,A01,ST0001,201609,635412
256,A01,ST0001,201616,658270
257,A01,ST0002,201616,137927
258,A01,ST0002,201609,154149
259,A01,ST0001,201614,739977
260,A01,ST0002,201614,148835
261,A01,ST0001,201641,746061
262,A01,ST0002,201412,151750
263,A01,ST0001,201420,645626
264,A01,ST0002,201420,125863
